name,date,open_value,high_value,low_value,close_value,adj_close,volume
Dow Jones,2017-06-23,21380.92,21421.79,21333.89,21394.76,21394.76,368400000.0
Dow Jones,2017-06-22,21407.98,21456.47,21394.81,21397.29,21397.29,270680000.0
Dow Jones,2017-06-21,21466.39,21492.62,21390.0,21410.03,21410.03,292500000.0
Dow Jones,2017-06-20,21521.25,21535.03,21464.24,21467.14,21467.14,310200000.0
Dow Jones,2017-06-19,21444.75,21528.99,21436.08,21528.99,21528.99,289400000.0
Dow Jones,2017-06-16,21335.93,21384.42,21308.01,21384.28,21384.28,603260000.0
Dow Jones,2017-06-15,21291.69,21367.28,21261.87,21359.9,21359.9,317200000.0
Dow Jones,2017-06-14,21342.71,21391.97,21294.09,21374.56,21374.56,295090000.0
Dow Jones,2017-06-13,21256.83,21332.77,21256.83,21328.47,21328.47,323510000.0
Dow Jones,2017-06-12,21259.95,21277.08,21186.15,21235.67,21235.67,528080000.0
Dow Jones,2017-06-09,21208.96,21305.35,21159.45,21271.97,21271.97,397200000.0
Dow Jones,2017-06-08,21169.76,21265.69,21138.16,21182.53,21182.53,330330000.0
Dow Jones,2017-06-07,21171.57,21189.84,21113.31,21173.69,21173.69,273400000.0
Dow Jones,2017-06-06,21145.48,21180.47,21118.46,21136.23,21136.23,283550000.0
Dow Jones,2017-06-05,21195.03,21224.41,21168.69,21184.04,21184.04,269790000.0
Dow Jones,2017-06-02,21142.09,21225.04,21129.56,21206.29,21206.29,329700000.0
Dow Jones,2017-06-01,21030.55,21144.18,20994.22,21144.18,21144.18,276730000.0
Dow Jones,2017-05-31,21048.46,21051.7,20942.57,21008.65,21008.65,371580000.0
Dow Jones,2017-05-30,21045.49,21063.62,21009.6,21029.47,21029.47,242810000.0
Dow Jones,2017-05-26,21070.15,21092.82,21050.49,21080.28,21080.28,208000000.0
Dow Jones,2017-05-25,21062.96,21112.32,21051.41,21082.95,21082.95,268970000.0
Dow Jones,2017-05-24,20949.21,21022.82,20933.58,21012.42,21012.42,283180000.0
Dow Jones,2017-05-23,20908.67,20961.14,20896.22,20937.91,20937.91,244950000.0
Dow Jones,2017-05-22,20867.77,20914.26,20860.16,20894.83,20894.83,276120000.0
Dow Jones,2017-05-19,20698.28,20857.13,20687.94,20804.84,20804.84,365180000.0
Dow Jones,2017-05-18,20579.65,20759.2,20553.45,20663.02,20663.02,422590000.0
Dow Jones,2017-05-17,20846.17,20846.17,20601.08,20606.93,20606.93,423200000.0
Dow Jones,2017-05-16,20984.48,21033.53,20932.88,20979.75,20979.75,311580000.0
Dow Jones,2017-05-15,20923.63,21000.83,20923.63,20981.94,20981.94,313170000.0
Dow Jones,2017-05-12,20893.19,20916.1,20869.74,20896.61,20896.61,288500000.0
Dow Jones,2017-05-11,20925.72,20933.36,20798.9,20919.42,20919.42,287680000.0
Dow Jones,2017-05-10,20958.49,20976.28,20884.15,20943.11,20943.11,283340000.0
Dow Jones,2017-05-09,21022.28,21046.85,20938.04,20975.78,20975.78,273000000.0
Dow Jones,2017-05-08,20991.26,21017.89,20971.05,21012.28,21012.28,276150000.0
Dow Jones,2017-05-05,20929.04,21006.94,20905.0,21006.94,21006.94,260960000.0
Dow Jones,2017-05-04,20987.83,20990.79,20847.95,20951.47,20951.47,274720000.0
Dow Jones,2017-05-03,20915.0,20972.74,20874.18,20957.9,20957.9,310920000.0
Dow Jones,2017-05-02,20941.19,20960.92,20904.06,20949.89,20949.89,338810000.0
Dow Jones,2017-05-01,20962.73,20976.62,20898.38,20913.46,20913.46,288160000.0
